SYSTEM,WATERWAY,SITE,TRANSECT,SUB_TRANS,METRES,METRES,SPECIES,RECRUIT_ORIGIN,RECRUIT_COUNT,DATE,SURVEY,Notes
Moorabool,Moorabool,Hunts Bridge,10,W,-1,-1 to 0,Nil,NA,0,13/11/2017,2,
Moorabool,Moorabool,Hunts Bridge,10,A,0,0 to 1,Cirsium vulgare,exotic,1,13/11/2017,2,
Moorabool,Moorabool,Hunts Bridge,10,A,0,0 to 1,Modiola caroliniana,exotic,1,13/11/2017,2,
Moorabool,Moorabool,Hunts Bridge,10,A,0,0 to 1,Monocot,Unknown,2,13/11/2017,2,
Moorabool,Moorabool,Hunts Bridge,10,B,1,1 to 2,Cirsium vulgare,exotic,1,13/11/2017,2,
Moorabool,Moorabool,Hunts Bridge,10,B,1,1 to 2,Monocot,Unknown,5,13/11/2017,2,
Moorabool,Moorabool,Hunts Bridge,10,C,2,2 to 3,Cirsium vulgare,exotic,1,13/11/2017,2,
Moorabool,Moorabool,Hunts Bridge,10,D,3,3 to 4,Nil,NA,0,13/11/2017,2,
Moorabool,Moorabool,Hunts Bridge,10,E,4,4 to 5,Nil,NA,0,13/11/2017,2,
Moorabool,Moorabool,Hunts Bridge,9,W,-1,-1 to 0,Nil,NA,0,13/11/2017,2,
Moorabool,Moorabool,Hunts Bridge,9,A,0,0 to 1,Nil,NA,0,13/11/2017,2,
Moorabool,Moorabool,Hunts Bridge,9,B,1,1 to 2,Nil,NA,0,13/11/2017,2,
Moorabool,Moorabool,Hunts Bridge,9,C,2,2 to 3,Nil,NA,0,13/11/2017,2,
Moorabool,Moorabool,Hunts Bridge,9,D,3,3 to 4,Nil,NA,0,13/11/2017,2,
Moorabool,Moorabool,Hunts Bridge,8,W,-1,-1 to 0,Nil,NA,0,13/11/2017,2,"Distance was 1 to 2, have corrected to -1 to 0"
Moorabool,Moorabool,Hunts Bridge,8,A,0,0 to 1,Nil,NA,0,13/11/2017,2,
Moorabool,Moorabool,Hunts Bridge,8,B,1,1 to 2,Nil,NA,0,13/11/2017,2,
Moorabool,Moorabool,Hunts Bridge,8,C,2,2 to 3,Nil,NA,0,13/11/2017,2,
Moorabool,Moorabool,Hunts Bridge,7,W,-1,-1 to 0,Nil,NA,0,13/11/2017,2,
Moorabool,Moorabool,Hunts Bridge,7,A,0,0 to 1,Nil,NA,0,13/11/2017,2,
Moorabool,Moorabool,Hunts Bridge,7,B,1,1 to 2,Nil,NA,0,13/11/2017,2,
Moorabool,Moorabool,Hunts Bridge,7,C,2,2 to 3,Nil,NA,0,13/11/2017,2,
Moorabool,Moorabool,Hunts Bridge,6,W,-1,-1 to 0,Nil,NA,0,13/11/2017,2,Distance was 3 to 4 have corrected to -1 to 0
Moorabool,Moorabool,Hunts Bridge,6,A,0,0 to 1,Nil,NA,0,13/11/2017,2,
Moorabool,Moorabool,Hunts Bridge,6,B,1,1 to 2,Sonchus oleraceus,exotic,2,13/11/2017,2,
Moorabool,Moorabool,Hunts Bridge,6,C,2,2 to 3,Sonchus oleraceus,exotic,1,13/11/2017,2,
Moorabool,Moorabool,Hunts Bridge,6,D,3,3 to 4,Nil,NA,0,13/11/2017,2,
Moorabool,Moorabool,Hunts Bridge,5,W,-1,-1 to 0,Nil,NA,0,13/11/2017,2,
Moorabool,Moorabool,Hunts Bridge,5,A,0,0 to 1,Nil,NA,0,13/11/2017,2,
Moorabool,Moorabool,Hunts Bridge,5,B,1,1 to 2,Nil,NA,0,13/11/2017,2,
Moorabool,Moorabool,Hunts Bridge,5,C,2,2 to 3,Nil,NA,0,13/11/2017,2,
Moorabool,Moorabool,Hunts Bridge,5,D,3,3 to 4,Nil,NA,0,13/11/2017,2,
Moorabool,Moorabool,Hunts Bridge,4,W,-1,-1 to 0,Dicot,NA,1,13/11/2017,2,
Moorabool,Moorabool,Hunts Bridge,4,A,0,0 to 1,Hypochaeris radicata,exotic,7,13/11/2017,2,
Moorabool,Moorabool,Hunts Bridge,4,B,1,1 to 2,Nil,NA,0,13/11/2017,2,
Moorabool,Moorabool,Hunts Bridge,4,C,2,2 to 3,Nil,NA,0,13/11/2017,2,
Moorabool,Moorabool,Hunts Bridge,3,W,-1,-1 to 0,Sonchus oleraceus,exotic,2,13/11/2017,2,
Moorabool,Moorabool,Hunts Bridge,3,A,0,0 to 1,Cirsium vulgare,exotic,1,13/11/2017,2,
Moorabool,Moorabool,Hunts Bridge,3,B,1,1 to 2,Sonchus oleraceus,exotic,2,13/11/2017,2,
Moorabool,Moorabool,Hunts Bridge,2,W,-1,-1 to 0,Nil,NA,0,13/11/2017,2,
Moorabool,Moorabool,Hunts Bridge,2,A,0,0 to 1,Hypochaeris radicata,exotic,1,13/11/2017,2,
Moorabool,Moorabool,Hunts Bridge,2,B,1,1 to 2,Sonchus oleraceus,exotic,1,13/11/2017,2,
Moorabool,Moorabool,Hunts Bridge,2,C,2,2 to 3,Nil,NA,0,13/11/2017,2,
Moorabool,Moorabool,Hunts Bridge,2,D,3,3 to 4,Nil,NA,0,13/11/2017,2,
Moorabool,Moorabool,Hunts Bridge,1,W,-1,-1 to 0,Sonchus oleraceus,exotic,2,13/11/2017,2,
Moorabool,Moorabool,Hunts Bridge,1,A,0,0 to 1,Nil,NA,0,13/11/2017,2,
Moorabool,Moorabool,Hunts Bridge,1,B,1,1 to 2,Nil,NA,0,13/11/2017,2,
Moorabool,Moorabool,Bakers Bridge,1,W,-1,-1 to 0,Nil,NA,0,14/11/2017,2,
Moorabool,Moorabool,Bakers Bridge,1,A,0,0 to 1,Persicaria subsessilis,native,10_50,14/11/2017,2,Count had switched to date (Oct-50) I am assuming it should have been 10_50
Moorabool,Moorabool,Bakers Bridge,1,B,1,1 to 2,Persicaria subsessilis,native,10_50,14/11/2017,2,
Moorabool,Moorabool,Bakers Bridge,1,C,2,2 to 3,Persicaria subsessilis,native,10_50,14/11/2017,2,
Moorabool,Moorabool,Bakers Bridge,1,C,2,2 to 3,Hypochaeris radicata,exotic,1,14/11/2017,2,
Moorabool,Moorabool,Bakers Bridge,1,D,3,3 to 4,Sonchus oleraceus,exotic,1,14/11/2017,2,
Moorabool,Moorabool,Bakers Bridge,1,D,3,3 to 4,Lactuca serriola,exotic,1,14/11/2017,2,
Moorabool,Moorabool,Bakers Bridge,2,W,-1,-1 to 0,Nil,NA,0,14/11/2017,2,
Moorabool,Moorabool,Bakers Bridge,2,A,0,0 to 1,Persicaria subsessilis,native,10_50,14/11/2017,2,
Moorabool,Moorabool,Bakers Bridge,2,A,0,0 to 1,Plantago spp.,exotic,3,14/11/2017,2,
Moorabool,Moorabool,Bakers Bridge,2,B,1,1 to 2,Symphyotrichum subulatum,exotic,10_50,14/11/2017,2,
Moorabool,Moorabool,Bakers Bridge,2,B,1,1 to 2,Cirsium vulgare,exotic,2,14/11/2017,2,
Moorabool,Moorabool,Bakers Bridge,2,B,1,1 to 2,Hypochaeris radicata,exotic,1,14/11/2017,2,
Moorabool,Moorabool,Bakers Bridge,2,B,1,1 to 2,Plantago major,exotic,4,14/11/2017,2,
Moorabool,Moorabool,Bakers Bridge,2,C,2,2 to 3,Plantago major,exotic,2,14/11/2017,2,
Moorabool,Moorabool,Bakers Bridge,2,C,2,2 to 3,Cirsium vulgare,exotic,1,14/11/2017,2,
Moorabool,Moorabool,Bakers Bridge,2,C,2,2 to 3,Symphyotrichum subulatum,exotic,1,14/11/2017,2,
Moorabool,Moorabool,Bakers Bridge,2,D,3,3 to 4,Nil,NA,0,14/11/2017,2,
Moorabool,Moorabool,Bakers Bridge,3,W,-1,-1 to 0,Persicaria subsessilis,native,10_50,14/11/2017,2,
Moorabool,Moorabool,Bakers Bridge,3,A,0,0 to 1,Persicaria subsessilis,native,3,14/11/2017,2,
Moorabool,Moorabool,Bakers Bridge,3,B,1,1 to 2,Nil,NA,0,14/11/2017,2,
Moorabool,Moorabool,Bakers Bridge,4,W,-1,-1 to 0,Persicaria subsessilis,native,6,14/11/2017,2,
Moorabool,Moorabool,Bakers Bridge,4,A,0,0 to 1,Symphyotrichum subulatum,exotic,10_50,14/11/2017,2,
Moorabool,Moorabool,Bakers Bridge,4,A,0,0 to 1,Helminthotheca echioides,exotic,1,14/11/2017,2,
Moorabool,Moorabool,Bakers Bridge,4,B,1,1 to 2,Symphyotrichum subulatum,exotic,5,14/11/2017,2,
Moorabool,Moorabool,Bakers Bridge,4,B,1,1 to 2,Sonchus oleraceus,exotic,2,14/11/2017,2,
Moorabool,Moorabool,Bakers Bridge,4,B,1,1 to 2,Cirsium vulgare,exotic,1,14/11/2017,2,
Moorabool,Moorabool,Bakers Bridge,4,C,2,2 to 3,Symphyotrichum subulatum,exotic,2,14/11/2017,2,
Moorabool,Moorabool,Bakers Bridge,4,D,3,3 to 4,Nil,NA,0,14/11/2017,2,
Moorabool,Moorabool,Bakers Bridge,5,W,-1,-1 to 0,Plantago major,exotic,1,14/11/2017,2,
Moorabool,Moorabool,Bakers Bridge,5,W,-1,-1 to 0,Symphyotrichum subulatum,exotic,10_50,14/11/2017,2,
Moorabool,Moorabool,Bakers Bridge,5,W,-1,-1 to 0,Rorippa palustris,exotic,1,14/11/2017,2,
Moorabool,Moorabool,Bakers Bridge,5,A,0,0 to 1,Plantago major,exotic,10_50,14/11/2017,2,
Moorabool,Moorabool,Bakers Bridge,5,A,0,0 to 1,Symphyotrichum subulatum,exotic,10_50,14/11/2017,2,
Moorabool,Moorabool,Bakers Bridge,5,A,0,0 to 1,Rorippa palustris,exotic,1,14/11/2017,2,
Moorabool,Moorabool,Bakers Bridge,5,A,0,0 to 1,Helminthotheca echioides,exotic,5,14/11/2017,2,
Moorabool,Moorabool,Bakers Bridge,5,A,0,0 to 1,Dicot,NA,2,14/11/2017,2,
Moorabool,Moorabool,Bakers Bridge,5,B,1,1 to 2,Cirsium vulgare,exotic,3,14/11/2017,2,
Moorabool,Moorabool,Bakers Bridge,5,B,1,1 to 2,Helminthotheca echioides,exotic,4,14/11/2017,2,
Moorabool,Moorabool,Bakers Bridge,5,B,1,1 to 2,Plantago major,exotic,3,14/11/2017,2,
Moorabool,Moorabool,Bakers Bridge,5,B,1,1 to 2,Symphyotrichum subulatum,exotic,8,14/11/2017,2,
Moorabool,Moorabool,Bakers Bridge,5,C,2,2 to 3,Cirsium vulgare,exotic,2,14/11/2017,2,
Moorabool,Moorabool,Bakers Bridge,5,D,3,3 to 4,Nil,NA,0,14/11/2017,2,
Moorabool,Moorabool,Bakers Bridge,6,W,-1,-1 to 0,Symphyotrichum subulatum,exotic,3,14/11/2017,2,
Moorabool,Moorabool,Bakers Bridge,6,A,0,0 to 1,Symphyotrichum subulatum,exotic,10_50,14/11/2017,2,
Moorabool,Moorabool,Bakers Bridge,6,A,0,0 to 1,Rorippa palustris,exotic,2,14/11/2017,2,
Moorabool,Moorabool,Bakers Bridge,6,B,1,1 to 2,Persicaria subsessilis,native,1,14/11/2017,2,
Moorabool,Moorabool,Bakers Bridge,6,C,2,2 to 3,Cirsium vulgare,exotic,1,14/11/2017,2,
Moorabool,Moorabool,Bakers Bridge,6,D,3,3 to 4,Nil,NA,0,14/11/2017,2,
Moorabool,Moorabool,Bakers Bridge,7,W,-1,-1 to 0,Persicaria subsessilis,native,4,14/11/2017,2,
Moorabool,Moorabool,Bakers Bridge,7,A,0,0 to 1,Dicot,NA,2,14/11/2017,2,
Moorabool,Moorabool,Bakers Bridge,7,A,0,0 to 1,Helminthotheca echioides,exotic,2,14/11/2017,2,
Moorabool,Moorabool,Bakers Bridge,7,B,1,1 to 2,Rorippa palustris,exotic,2,14/11/2017,2,
Moorabool,Moorabool,Bakers Bridge,7,B,1,1 to 2,Dicot,NA,2,14/11/2017,2,
Moorabool,Moorabool,Bakers Bridge,7,C,2,2 to 3,Nil,NA,0,14/11/2017,2,
Moorabool,Moorabool,Bakers Bridge,7,D,3,3 to 4,Nil,NA,0,14/11/2017,2,
Moorabool,Moorabool,Bakers Bridge,8,W,-1,-1 to 0,Nil,NA,0,14/11/2017,2,
Moorabool,Moorabool,Bakers Bridge,8,A,0,0 to 1,Persicaria subsessilis,native,3,14/11/2017,2,
Moorabool,Moorabool,Bakers Bridge,8,B,1,1 to 2,Nil,NA,0,14/11/2017,2,
Moorabool,Moorabool,Bakers Bridge,8,C,2,2 to 3,Helminthotheca echioides,exotic,,14/11/2017,2,Count is blank - check book
Moorabool,Moorabool,Bakers Bridge,8,D,3,3 to 4,Nil,NA,0,14/11/2017,2,
Moorabool,Moorabool,Bakers Bridge,8,E,4,4 to 5,Nil,NA,0,14/11/2017,2,
Moorabool,Moorabool,Bakers Bridge,9,W,-1,-1 to 0,Nil,NA,0,14/11/2017,2,
Moorabool,Moorabool,Bakers Bridge,9,A,0,0 to 1,Rumex spp.,native,3,14/11/2017,2,
Moorabool,Moorabool,Bakers Bridge,9,A,0,0 to 1,Plantago major,exotic,3,14/11/2017,2,
Moorabool,Moorabool,Bakers Bridge,9,A,0,0 to 1,Persicaria decipiens,native,10_50,14/11/2017,2,
Moorabool,Moorabool,Bakers Bridge,9,B,1,1 to 2,Nil,NA,0,14/11/2017,2,
Moorabool,Moorabool,Bakers Bridge,9,C,2,2 to 3,Nil,NA,0,14/11/2017,2,
Moorabool,Moorabool,Bakers Bridge,9,D,3,3 to 4,Sonchus oleraceus,exotic,1,14/11/2017,2,
Moorabool,Moorabool,Bakers Bridge,10,W,-1,-1 to 0,Nil,NA,0,14/11/2017,2,
Moorabool,Moorabool,Bakers Bridge,10,A,0,0 to 1,Persicaria subsessilis,native,10_50,14/11/2017,2,
Moorabool,Moorabool,Bakers Bridge,10,A,0,0 to 1,Plantago major,exotic,3,14/11/2017,2,
Moorabool,Moorabool,Bakers Bridge,10,A,0,0 to 1,Rumex spp.,native,2,14/11/2017,2,
Moorabool,Moorabool,Bakers Bridge,10,B,1,1 to 2,Persicaria subsessilis,native,0,14/11/2017,2,Count is zero - check book 
Moorabool,Moorabool,Bakers Bridge,10,C,2,2 to 3,Persicaria subsessilis,native,1,14/11/2017,2,
Moorabool,Moorabool,Bakers Bridge,10,D,3,3 to 4,Nil,NA,0,14/11/2017,2,
Moorabool,Moorabool,Bakers Bridge,10,E,4,4 to 5,Nil,NA,0,14/11/2017,2,
Moorabool,Moorabool,Sharps Rd,1,W,-1,-1 to 0,Nil,NA,0,23/11/2017,2,
Moorabool,Moorabool,Sharps Rd,1,A,0,0 to 1,Ehrharta erecta var. erecta,exotic,10_50,23/11/2017,2,
Moorabool,Moorabool,Sharps Rd,1,B,1,1 to 2,Ehrharta erecta var. erecta,exotic,10_50,23/11/2017,2,
Moorabool,Moorabool,Sharps Rd,2,W,-1,-1 to 0,Lobelia anceps,native,50 to 100,23/11/2017,2,
Moorabool,Moorabool,Sharps Rd,2,W,-1,-1 to 0,Ehrharta erecta var. erecta,exotic,10_50,23/11/2017,2,
Moorabool,Moorabool,Sharps Rd,2,A,0,0 to 1,Lobelia anceps,native,10_50,23/11/2017,2,
Moorabool,Moorabool,Sharps Rd,2,A,0,0 to 1,Ehrharta erecta var. erecta,exotic,10_50,23/11/2017,2,
Moorabool,Moorabool,Sharps Rd,2,B,1,1 to 2,Ehrharta erecta var. erecta,exotic,10_50,23/11/2017,2,
Moorabool,Moorabool,Sharps Rd,2,C,2,2 to 3,Nil,NA,0,23/11/2017,2,
Moorabool,Moorabool,Sharps Rd,3,W,-1,-1 to 0,Nil,NA,0,23/11/2017,2,
Moorabool,Moorabool,Sharps Rd,3,A,0,0 to 1,Ehrharta erecta var. erecta,exotic,50 to 100,23/11/2017,2,
Moorabool,Moorabool,Sharps Rd,3,B,1,1 to 2,Ehrharta erecta var. erecta,exotic,50 to 100,23/11/2017,2,
Moorabool,Moorabool,Sharps Rd,3,C,2,2 to 3,Ehrharta erecta var. erecta,exotic,3,23/11/2017,2,
Moorabool,Moorabool,Sharps Rd,3,C,2,2 to 3,Hypochaeris radicata,exotic,1,23/11/2017,2,
Moorabool,Moorabool,Sharps Rd,4,W,-1,-1 to 0,Nil,NA,0,23/11/2017,2,
Moorabool,Moorabool,Sharps Rd,4,A,0,0 to 1,Ehrharta erecta var. erecta,exotic,10_50,23/11/2017,2,
Moorabool,Moorabool,Sharps Rd,4,A,0,0 to 1,Lobelia anceps,native,10_50,23/11/2017,2,
Moorabool,Moorabool,Sharps Rd,4,B,1,1 to 2,Ehrharta erecta var. erecta,exotic,10_50,23/11/2017,2,
Moorabool,Moorabool,Sharps Rd,5,W,-1,-1 to 0,Lobelia anceps,native,10_50,23/11/2017,2,
Moorabool,Moorabool,Sharps Rd,5,A,0,0 to 1,Nil,NA,0,23/11/2017,2,
Moorabool,Moorabool,Sharps Rd,5,B,1,1 to 2,Lobelia anceps,native,10_50,23/11/2017,2,
Moorabool,Moorabool,Sharps Rd,5,C,2,2 to 3,Ehrharta erecta var. erecta,exotic,10_50,23/11/2017,2,
Moorabool,Moorabool,Sharps Rd,5,D,3,3 to 4,Ehrharta erecta var. erecta,exotic,10_50,23/11/2017,2,
Moorabool,Moorabool,Sharps Rd,6,W,-1,-1 to 0,Ehrharta erecta var. erecta,exotic,10_50,23/11/2017,2,
Moorabool,Moorabool,Sharps Rd,6,A,0,0 to 1,Ehrharta erecta var. erecta,exotic,10_50,23/11/2017,2,
Moorabool,Moorabool,Sharps Rd,6,B,1,1 to 2,Ehrharta erecta var. erecta,exotic,10_50,23/11/2017,2,
Moorabool,Moorabool,Sharps Rd,6,B,1,1 to 2,Cirsium vulgare,exotic,1,23/11/2017,2,
Moorabool,Moorabool,Sharps Rd,7,W,-1,-1 to 0,Nil,NA,0,23/11/2017,2,
Moorabool,Moorabool,Sharps Rd,7,A,0,0 to 1,Lobelia anceps,native,10_50,23/11/2017,2,
Moorabool,Moorabool,Sharps Rd,7,A,0,0 to 1,Ehrharta erecta var. erecta,exotic,10_50,23/11/2017,2,
Moorabool,Moorabool,Sharps Rd,7,A,0,0 to 1,Cirsium vulgare,exotic,2,23/11/2017,2,
Moorabool,Moorabool,Sharps Rd,7,B,1,1 to 2,Ehrharta erecta var. erecta,exotic,50 to 100,23/11/2017,2,
Moorabool,Moorabool,Sharps Rd,8,W,-1,-1 to 0,Nil,NA,0,23/11/2017,2,
Moorabool,Moorabool,Sharps Rd,8,A,0,0 to 1,Ehrharta erecta var. erecta,exotic,10_50,23/11/2017,2,
Moorabool,Moorabool,Sharps Rd,8,B,1,1 to 2,Nil,NA,0,23/11/2017,2,
Moorabool,Moorabool,Sharps Rd,9,W,-1,-1 to 0,Nil,NA,0,23/11/2017,2,
Moorabool,Moorabool,Sharps Rd,9,A,0,0 to 1,Hypochaeris radicata,exotic,2,23/11/2017,2,
Moorabool,Moorabool,Sharps Rd,9,B,1,1 to 2,Nil,NA,0,23/11/2017,2,
Moorabool,Moorabool,Sharps Rd,10,W,-1,-1 to 0,Nil,NA,0,23/11/2017,2,
Moorabool,Moorabool,Sharps Rd,10,A,0,0 to 1,Nil,NA,0,23/11/2017,2,
Moorabool,Moorabool,Sharps Rd,10,B,1,1 to 2,Ehrharta erecta var. erecta,exotic,10_50,23/11/2017,2,
Moorabool,Moorabool,Sharps Rd,10,C,2,2 to 3,Ehrharta erecta var. erecta,exotic,10_50,23/11/2017,2,
Moorabool,Moorabool,Sutherland Creek,1,W,-1,-1 to 0,Nil,NA,0,24/11/2017,2,
Moorabool,Moorabool,Sutherland Creek,1,A,0,0 to 1,Sonchus oleraceus,exotic,1,24/11/2017,2,
Moorabool,Moorabool,Sutherland Creek,1,A,0,0 to 1,Atriplex prostrata,exotic,1,24/11/2017,2,
Moorabool,Moorabool,Sutherland Creek,1,A,0,0 to 1,Phalaris aquatica,exotic,6,24/11/2017,2,
Moorabool,Moorabool,Sutherland Creek,1,B,1,1 to 2,Lobelia anceps,native,1,24/11/2017,2,
Moorabool,Moorabool,Sutherland Creek,2,W,-1,-1 to 0,Sonchus oleraceus,exotic,1,24/11/2017,2,
Moorabool,Moorabool,Sutherland Creek,2,A,0,0 to 1,Nil,NA,0,24/11/2017,2,
Moorabool,Moorabool,Sutherland Creek,2,B,1,1 to 2,Phalaris aquatica,exotic,10_50,24/11/2017,2,
Moorabool,Moorabool,Sutherland Creek,2,B,1,1 to 2,Lobelia anceps,native,1,24/11/2017,2,
Moorabool,Moorabool,Sutherland Creek,3,W,-1,-1 to 0,Nil,NA,0,24/11/2017,2,
Moorabool,Moorabool,Sutherland Creek,3,A,0,0 to 1,Lobelia anceps,native,1,24/11/2017,2,
Moorabool,Moorabool,Sutherland Creek,3,A,0,0 to 1,Ehrharta erecta var. erecta,exotic,2,24/11/2017,2,
Moorabool,Moorabool,Sutherland Creek,3,B,1,1 to 2,Ehrharta erecta var. erecta,exotic,10_50,24/11/2017,2,
Moorabool,Moorabool,Sutherland Creek,4,W,-1,-1 to 0,Nil,NA,0,24/11/2017,2,
Moorabool,Moorabool,Sutherland Creek,4,A,0,0 to 1,Phalaris aquatica,exotic,1,24/11/2017,2,
Moorabool,Moorabool,Sutherland Creek,4,B,1,1 to 2,Lobelia anceps,native,3,24/11/2017,2,
Moorabool,Moorabool,Sutherland Creek,4,B,1,1 to 2,Ehrharta erecta var. erecta,exotic,5,24/11/2017,2,
Moorabool,Moorabool,Sutherland Creek,5,W,-1,-1 to 0,Nil,NA,0,24/11/2017,2,
Moorabool,Moorabool,Sutherland Creek,5,A,0,0 to 1,Monocot grass,exotic,10_50,24/11/2017,2,Was Exotic grass
Moorabool,Moorabool,Sutherland Creek,5,A,0,0 to 1,Ehrharta erecta var. erecta,exotic,10_50,24/11/2017,2,
Moorabool,Moorabool,Sutherland Creek,5,B,1,1 to 2,Monocot grass,exotic,5,24/11/2017,2,Was Exotic grass
Moorabool,Moorabool,Sutherland Creek,6,W,-1,-1 to 0,Phalaris aquatica,exotic,10_50,24/11/2017,2,
Moorabool,Moorabool,Sutherland Creek,6,W,-1,-1 to 0,Avena fatua,exotic,10_50,24/11/2017,2,
Moorabool,Moorabool,Sutherland Creek,6,W,-1,-1 to 0,Sonchus oleraceus,exotic,1,24/11/2017,2,
Moorabool,Moorabool,Sutherland Creek,6,A,0,0 to 1,Phalaris aquatica,exotic,10_50,24/11/2017,2,
